[object Object],TEST_TX_1754912719249,2025-08-11T11:45:19.250Z,pending,0,,,,,
BjDo38a7HcvdUvvTS9mWomGyMXfGG4LSmC1rMAXdts14,J31oeVVwUkndiWGph71FeFKz2b6tHyJ4zPddHRFCg2WKfifSzNEascjAoPMsT2Uob578gfbK39w1Um6TM5WPcBH,2025-08-14T16:40:46.998Z,pending,1,,,,2025-08-14T16:40:46.998Z,Stage 1 error: Liquidity data not yet available
FtkHNZGRrQy9T3sGGEYVnsaVJ5HMKVqpPrvmJCC4pump,2BsR8KxZUM6CGgHM7mfZZvLZqiYoHt2RxL8npdMHhbUZ59qDvXukTdDvvXo7wuRFcRuQ8GNcKocS68TB5DNG5ugy,2025-08-14T16:40:47.032Z,pending,0,,,,,
FtkHNZGRrQy9T3sGGEYVnsaVJ5HMKVqpPrvmJCC4pump,2BsR8KxZUM6CGgHM7mfZZvLZqiYoHt2RxL8npdMHhbUZ59qDvXukTdDvvXo7wuRFcRuQ8GNcKocS68TB5DNG5ugy,2025-08-14T16:40:47.032Z,bought,1,9.006075616529733,true,,2025-08-14T16:40:47.033Z,
oPKLqMCuiDr4Q7HyBbc6hzfFc6NgJuEV71AkaiXpump,2A1idvx4yrVDeQo8XBUi25r2tNCdzJzondJ8WfQ8HSXX5mdutkYJcscxhY7HEythpre1pMsEPtC4FQ6QFxy62tf7,2025-08-14T16:40:47.529Z,pending,0,,,,,
oPKLqMCuiDr4Q7HyBbc6hzfFc6NgJuEV71AkaiXpump,2A1idvx4yrVDeQo8XBUi25r2tNCdzJzondJ8WfQ8HSXX5mdutkYJcscxhY7HEythpre1pMsEPtC4FQ6QFxy62tf7,2025-08-14T16:40:47.529Z,rejected,1,5.065865901423246,,,2025-08-14T16:40:47.529Z,Mint/Freeze authorities not renounced
oPKLqMCuiDr4Q7HyBbc6hzfFc6NgJuEV71AkaiXpump,5CrnsPQgB2FEbvWcxC4M98YiUKSBaMTfSymAbgR364Tbm9ePgncWHeWdY5owBWM5RNa6BmsnSTNLSVVRMbeaC8jV,2025-08-14T16:40:47.557Z,pending,0,,,,,
oPKLqMCuiDr4Q7HyBbc6hzfFc6NgJuEV71AkaiXpump,5CrnsPQgB2FEbvWcxC4M98YiUKSBaMTfSymAbgR364Tbm9ePgncWHeWdY5owBWM5RNa6BmsnSTNLSVVRMbeaC8jV,2025-08-14T16:40:47.557Z,bought,1,9.997649342846135,true,,2025-08-14T16:40:47.558Z,
oPKLqMCuiDr4Q7HyBbc6hzfFc6NgJuEV71AkaiXpump,4VfkYf53qn47HHAVnNP2v3eb5x1ageMB1veSKdpF4NE8JYjiJ7VzxFbJgrkmAja5LNDduUxbXhFaWD4yEoaLJewW,2025-08-14T16:40:47.590Z,pending,0,,,,,
oPKLqMCuiDr4Q7HyBbc6hzfFc6NgJuEV71AkaiXpump,4VfkYf53qn47HHAVnNP2v3eb5x1ageMB1veSKdpF4NE8JYjiJ7VzxFbJgrkmAja5LNDduUxbXhFaWD4yEoaLJewW,2025-08-14T16:40:47.590Z,rejected,1,0.822993745237349,,,2025-08-14T16:40:47.590Z,Low liquidity: 0.82 ETH
8dbyyXBmJH7znAkncLLdjhQCLXdW2jLyHKH5ZfPopump,2A8vyVTeGHWemzaJ9FwaPx8e7yEggPRws51xx6s2ioNvzu9eju9pTa7eshmb35w9GikkpkXUD9z9ZpmQPnhXK1ci,2025-08-14T16:40:47.617Z,pending,0,,,,,
8dbyyXBmJH7znAkncLLdjhQCLXdW2jLyHKH5ZfPopump,2A8vyVTeGHWemzaJ9FwaPx8e7yEggPRws51xx6s2ioNvzu9eju9pTa7eshmb35w9GikkpkXUD9z9ZpmQPnhXK1ci,2025-08-14T16:40:47.617Z,pending,1,,,,2025-08-14T16:40:47.618Z,Stage 1 error: Liquidity data not yet available
oPKLqMCuiDr4Q7HyBbc6hzfFc6NgJuEV71AkaiXpump,3J5BmhFVkCBP69fbLc2ptaMUtuY1BjjW6Vkc6MW9NdjjoQw2YPcaiBzXSR1n1xuNHHrjRoQbsWVTERh4eRtkQTpS,2025-08-14T16:40:47.630Z,pending,0,,,,,
