timestamp,metric_name,value
2025-09-25T19:39:31.058Z,total_trades,0
2025-09-25T19:39:31.059Z,win_rate,0
2025-09-25T19:39:31.059Z,current_pool,600
2025-09-25T19:39:31.059Z,net_roi,0
2025-09-25T19:39:36.058Z,total_trades,0
2025-09-25T19:39:36.059Z,win_rate,0
2025-09-25T19:39:36.059Z,current_pool,600
2025-09-25T19:39:36.059Z,net_roi,0
2025-09-25T19:39:41.058Z,total_trades,0
2025-09-25T19:39:41.058Z,win_rate,0
2025-09-25T19:39:41.059Z,current_pool,600
2025-09-25T19:39:41.059Z,net_roi,0
2025-09-25T19:39:46.059Z,total_trades,0
2025-09-25T19:39:46.060Z,win_rate,0
2025-09-25T19:39:46.060Z,current_pool,600
2025-09-25T19:39:46.060Z,net_roi,0
2025-09-25T19:39:51.068Z,total_trades,0
2025-09-25T19:39:51.069Z,win_rate,0
2025-09-25T19:39:51.069Z,current_pool,600
2025-09-25T19:39:51.070Z,net_roi,0
2025-09-25T19:39:56.072Z,total_trades,0
2025-09-25T19:39:56.073Z,win_rate,0
2025-09-25T19:39:56.073Z,current_pool,600
2025-09-25T19:39:56.073Z,net_roi,0
2025-09-25T19:40:01.074Z,total_trades,0
2025-09-25T19:40:01.074Z,win_rate,0
2025-09-25T19:40:01.074Z,current_pool,600
2025-09-25T19:40:01.075Z,net_roi,0
2025-09-25T19:40:06.082Z,total_trades,0
2025-09-25T19:40:06.082Z,win_rate,0
2025-09-25T19:40:06.083Z,current_pool,600
2025-09-25T19:40:06.083Z,net_roi,0
2025-09-25T19:40:11.085Z,total_trades,0
2025-09-25T19:40:11.085Z,win_rate,0
2025-09-25T19:40:11.086Z,current_pool,600
2025-09-25T19:40:11.086Z,net_roi,0
2025-09-25T19:40:16.098Z,total_trades,0
2025-09-25T19:40:16.098Z,win_rate,0
2025-09-25T19:40:16.098Z,current_pool,600
2025-09-25T19:40:16.099Z,net_roi,0
2025-09-25T19:40:21.110Z,total_trades,0
2025-09-25T19:40:21.111Z,win_rate,0
2025-09-25T19:40:21.111Z,current_pool,600
2025-09-25T19:40:21.111Z,net_roi,0
2025-09-25T19:40:26.124Z,total_trades,0
2025-09-25T19:40:26.125Z,win_rate,0
2025-09-25T19:40:26.125Z,current_pool,600
